graphNo, Vertex-Num, radius, diameter, entropy
43619, 17, 4, 7, 4.05583
43620, 17, 5, 9, 4.04851
43621, 17, 5, 10, 4.06166
43622, 17, 4, 8, 4.05778
43623, 17, 4, 8, 4.05178
43624, 17, 6, 11, 4.05211
43625, 17, 5, 10, 4.05197
43626, 17, 6, 11, 4.06302
43627, 17, 5, 9, 4.06
43628, 17, 4, 8, 4.05498
43629, 17, 5, 10, 4.04871
43630, 17, 5, 9, 4.04839
43631, 17, 5, 9, 4.05251
43632, 17, 4, 8, 4.05562
43633, 17, 5, 10, 4.05038
43634, 17, 4, 8, 4.05197
43635, 17, 4, 7, 4.05605
43636, 17, 5, 9, 4.04879
43637, 17, 5, 10, 4.06043
43638, 17, 5, 9, 4.05612
43639, 17, 5, 10, 4.05897
43640, 17, 4, 8, 4.05812
43641, 17, 5, 9, 4.05861
43642, 17, 5, 10, 4.05659
43643, 17, 6, 11, 4.05737
43644, 17, 6, 11, 4.05783
43645, 17, 6, 11, 4.05142
43646, 17, 5, 9, 4.05564
43647, 17, 6, 12, 4.05579
43648, 17, 7, 13, 4.05288
43649, 17, 5, 10, 4.05661
43650, 17, 4, 8, 4.05431
43651, 17, 5, 9, 4.05231
43652, 17, 6, 11, 4.05241
43653, 17, 5, 10, 4.05508
43654, 17, 6, 12, 4.05527
43655, 17, 7, 13, 4.05342
43656, 17, 4, 8, 4.05346
43657, 17, 4, 7, 4.05676
43658, 17, 5, 9, 4.05111
43659, 17, 5, 9, 4.05255
43660, 17, 4, 8, 4.05528
43661, 17, 5, 9, 4.0521
43662, 17, 4, 8, 4.05458
43663, 17, 5, 9, 4.05179
43664, 17, 5, 10, 4.05093
43665, 17, 5, 9, 4.05162
43666, 17, 4, 8, 4.05349
43667, 17, 5, 10, 4.05099
43668, 17, 5, 10, 4.05232
43669, 17, 5, 9, 4.05525
43670, 17, 5, 10, 4.054
43671, 17, 4, 8, 4.05535
43672, 17, 6, 12, 4.05445
43673, 17, 6, 12, 4.05946
43674, 17, 7, 13, 4.05803
43675, 17, 5, 10, 4.05343
43676, 17, 5, 9, 4.05289
43677, 17, 4, 8, 4.05599
43678, 17, 6, 11, 4.05268
43679, 17, 6, 12, 4.05137
43680, 17, 5, 9, 4.05471
43681, 17, 6, 12, 4.05433
43682, 17, 5, 10, 4.05459
43683, 17, 5, 10, 4.05315
43684, 17, 6, 12, 4.06038
43685, 17, 5, 10, 4.05093
43686, 17, 6, 12, 4.05181
43687, 17, 7, 13, 4.05868
43688, 17, 7, 13, 4.05217
43689, 17, 5, 10, 4.05433
43690, 17, 5, 10, 4.0552
43691, 17, 4, 8, 4.05533
43692, 17, 5, 9, 4.05252
43693, 17, 6, 11, 4.05427
